"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","STINT","TOT","PC_PA","M","2022-02",0.38,
"USA","STINT","TOT","PC_PA","M","2022-03",0.73,
"USA","STINT","TOT","PC_PA","M","2022-04",0.91,
"USA","STINT","TOT","PC_PA","M","2022-05",1.33,
"USA","STINT","TOT","PC_PA","M","2022-06",1.87,
"USA","STINT","TOT","PC_PA","M","2022-07",2.5,
"USA","STINT","TOT","PC_PA","M","2022-08",2.76,
"USA","STINT","TOT","PC_PA","M","2022-09",3.21,
"USA","STINT","TOT","PC_PA","M","2022-10",3.85,
"USA","STINT","TOT","PC_PA","M","2022-11",4.46,
"USA","STINT","TOT","PC_PA","M","2022-12",4.51,
"USA","STINT","TOT","PC_PA","M","2023-01",4.61,
"USA","STINT","TOT","PC_PA","M","2023-02",4.74,
"GBR","STINT","TOT","PC_PA","M","2022-02",0.81,
"GBR","STINT","TOT","PC_PA","M","2022-03",0.99,
"GBR","STINT","TOT","PC_PA","M","2022-04",1.13,
"GBR","STINT","TOT","PC_PA","M","2022-05",1.31,
"GBR","STINT","TOT","PC_PA","M","2022-06",1.57,
"GBR","STINT","TOT","PC_PA","M","2022-07",1.84,
"GBR","STINT","TOT","PC_PA","M","2022-08",2.23,
"GBR","STINT","TOT","PC_PA","M","2022-09",2.91,
"GBR","STINT","TOT","PC_PA","M","2022-10",3.39,
"GBR","STINT","TOT","PC_PA","M","2022-11",3.52,
"GBR","STINT","TOT","PC_PA","M","2022-12",3.78,
"GBR","STINT","TOT","PC_PA","M","2023-01",4.01,
"GBR","STINT","TOT","PC_PA","M","2023-02",4.21,
"JPN","STINT","TOT","PC_PA","M","2022-02",-0.049,
"JPN","STINT","TOT","PC_PA","M","2022-03",-0.049,
"JPN","STINT","TOT","PC_PA","M","2022-04",-0.049,
"JPN","STINT","TOT","PC_PA","M","2022-05",-0.049,
"JPN","STINT","TOT","PC_PA","M","2022-06",0.005,
"JPN","STINT","TOT","PC_PA","M","2022-07",-0.031,
"JPN","STINT","TOT","PC_PA","M","2022-08",-0.02,
"JPN","STINT","TOT","PC_PA","M","2022-09",-0.016,
"JPN","STINT","TOT","PC_PA","M","2022-10",-0.016,
"JPN","STINT","TOT","PC_PA","M","2022-11",-0.016,
"JPN","STINT","TOT","PC_PA","M","2022-12",-0.015,
"JPN","STINT","TOT","PC_PA","M","2023-01",-0.006,
"AUS","STINT","TOT","PC_PA","M","2022-02",0.07,
"AUS","STINT","TOT","PC_PA","M","2022-03",0.17,
"AUS","STINT","TOT","PC_PA","M","2022-04",0.41,
"AUS","STINT","TOT","PC_PA","M","2022-05",1,
"AUS","STINT","TOT","PC_PA","M","2022-06",1.6,
"AUS","STINT","TOT","PC_PA","M","2022-07",2.07,
"AUS","STINT","TOT","PC_PA","M","2022-08",2.31,
"AUS","STINT","TOT","PC_PA","M","2022-09",2.76,
"AUS","STINT","TOT","PC_PA","M","2022-10",2.95,
"AUS","STINT","TOT","PC_PA","M","2022-11",3.06,
"AUS","STINT","TOT","PC_PA","M","2022-12",3.17,
"AUS","STINT","TOT","PC_PA","M","2023-01",3.32,
"AUS","STINT","TOT","PC_PA","M","2023-02",3.46,
"MEX","STINT","TOT","PC_PA","M","2022-02",6.18,
"MEX","STINT","TOT","PC_PA","M","2022-03",6.57,
"MEX","STINT","TOT","PC_PA","M","2022-04",6.98,
"MEX","STINT","TOT","PC_PA","M","2022-05",7.38,
"MEX","STINT","TOT","PC_PA","M","2022-06",7.84,
"MEX","STINT","TOT","PC_PA","M","2022-07",8.35,
"MEX","STINT","TOT","PC_PA","M","2022-08",8.81,
"MEX","STINT","TOT","PC_PA","M","2022-09",9.22,
"MEX","STINT","TOT","PC_PA","M","2022-10",9.9,
"MEX","STINT","TOT","PC_PA","M","2022-11",10.39,
"MEX","STINT","TOT","PC_PA","M","2022-12",10.82,
"MEX","STINT","TOT","PC_PA","M","2023-01",10.94,
"MEX","STINT","TOT","PC_PA","M","2023-02",11.27,
"COL","STINT","TOT","PC_PA","M","2022-02",4.31,
"COL","STINT","TOT","PC_PA","M","2022-03",4.97,
"COL","STINT","TOT","PC_PA","M","2022-04",5.97,
"COL","STINT","TOT","PC_PA","M","2022-05",7.04,
"COL","STINT","TOT","PC_PA","M","2022-06",7.72,
"COL","STINT","TOT","PC_PA","M","2022-07",9.3,
"COL","STINT","TOT","PC_PA","M","2022-08",10.57,
"COL","STINT","TOT","PC_PA","M","2022-09",10.99,
"COL","STINT","TOT","PC_PA","M","2022-10",11.6,
"COL","STINT","TOT","PC_PA","M","2022-11",12.63,
"COL","STINT","TOT","PC_PA","M","2022-12",13.42,
"COL","STINT","TOT","PC_PA","M","2023-01",13.91,
"COL","STINT","TOT","PC_PA","M","2023-02",14.39,
